iter	Accuracy	MultiClass
468	0.7565862709	0.6700788563
469	0.7573283859	0.6696489392
470	0.7574520717	0.6692919024
471	0.7573283859	0.6690165892
472	0.7580705009	0.6686423204
473	0.7580705009	0.668313001
474	0.758812616	0.667979512
475	0.7585652443	0.6675779476
476	0.7585652443	0.6673085331
477	0.7585652443	0.6669133032
478	0.758812616	0.6664552465
479	0.7591836735	0.6661612433
480	0.7593073593	0.665804348
481	0.7594310451	0.6655130054
482	0.7599257885	0.6650339821
483	0.7604205318	0.6645112725
484	0.7604205318	0.6641994004
485	0.761038961	0.6638419979
486	0.761038961	0.6634993462
487	0.7617810761	0.6631679167
488	0.7616573902	0.662628033
489	0.7617810761	0.6622279128
490	0.7623995053	0.6618043338
491	0.7626468769	0.6614121898
492	0.763388992	0.6609391074
493	0.7635126778	0.6605395483
494	0.764131107	0.660179218
495	0.7643784787	0.6597875726
496	0.7647495362	0.6593817422
497	0.7649969079	0.6590080659
498	0.7658627087	0.6586733158
499	0.7658627087	0.6583694649
500	0.7661100804	0.6580722282
501	0.7664811379	0.6576408207
502	0.7666048237	0.6572866415
503	0.7664811379	0.6568623624
504	0.7673469388	0.6565521579
505	0.7677179963	0.6561882247
506	0.7675943105	0.6559024082
507	0.7683364255	0.6555415795
508	0.7684601113	0.6552095357
509	0.767965368	0.6548485674
510	0.7680890538	0.6544972646
511	0.7683364255	0.6542290763
512	0.7685837972	0.6538505628
513	0.768707483	0.653444599
514	0.7690785405	0.6531262945
515	0.769449598	0.6528185876
516	0.769449598	0.6523813698
517	0.7698206555	0.6521166832
518	0.7699443414	0.6517779558
519	0.7704390847	0.6513759804
520	0.7706864564	0.6510513043
521	0.7711811998	0.6507182544
522	0.7714285714	0.6503609691
523	0.7716759431	0.6501680522
524	0.7715522573	0.649834449
525	0.7722943723	0.649583625
526	0.7721706865	0.649136842
527	0.772541744	0.6488433309
528	0.7722943723	0.6486360301
529	0.7724180581	0.6483414809
530	0.7726654298	0.6481499384
531	0.7727891156	0.6477645019
